,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,std,sta,atd,ata,date
0,517,515,2.0,830,819,11.0,UA,1545,N14228,EWR,IAH,227.0,1400.0,5.0,15.0,2013-01-01T05:00:00Z,5:15:00,8:19:00,5:17:00,8:30:00,2013-01-01
1,533,529,4.0,850,830,20.0,UA,1714,N24211,LGA,IAH,227.0,1416.0,5.0,29.0,2013-01-01T05:00:00Z,5:29:00,8:30:00,5:33:00,8:50:00,2013-01-01
2,542,540,2.0,923,850,33.0,AA,1141,N619AA,JFK,MIA,160.0,1089.0,5.0,40.0,2013-01-01T05:00:00Z,5:40:00,8:50:00,5:42:00,9:23:00,2013-01-01
3,544,545,-1.0,1004,1022,-18.0,B6,725,N804JB,JFK,BQN,183.0,1576.0,5.0,45.0,2013-01-01T05:00:00Z,5:45:00,10:22:00,5:44:00,10:04:00,2013-01-01
4,554,600,-6.0,812,837,-25.0,DL,461,N668DN,LGA,ATL,116.0,762.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,8:37:00,5:54:00,8:12:00,2013-01-01
5,554,558,-4.0,740,728,12.0,UA,1696,N39463,EWR,ORD,150.0,719.0,5.0,58.0,2013-01-01T05:00:00Z,5:58:00,7:28:00,5:54:00,7:40:00,2013-01-01
6,555,600,-5.0,913,854,19.0,B6,507,N516JB,EWR,FLL,158.0,1065.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,8:54:00,5:55:00,9:13:00,2013-01-01
7,557,600,-3.0,709,723,-14.0,EV,5708,N829AS,LGA,IAD,53.0,229.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,7:23:00,5:57:00,7:09:00,2013-01-01
8,557,600,-3.0,838,846,-8.0,B6,79,N593JB,JFK,MCO,140.0,944.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,8:46:00,5:57:00,8:38:00,2013-01-01
9,558,600,-2.0,753,745,8.0,AA,301,N3ALAA,LGA,ORD,138.0,733.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,7:45:00,5:58:00,7:53:00,2013-01-01
10,558,600,-2.0,849,851,-2.0,B6,49,N793JB,JFK,PBI,149.0,1028.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,8:51:00,5:58:00,8:49:00,2013-01-01
11,558,600,-2.0,853,856,-3.0,B6,71,N657JB,JFK,TPA,158.0,1005.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,8:56:00,5:58:00,8:53:00,2013-01-01
12,558,600,-2.0,924,917,7.0,UA,194,N29129,JFK,LAX,345.0,2475.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,9:17:00,5:58:00,9:24:00,2013-01-01
13,558,600,-2.0,923,937,-14.0,UA,1124,N53441,EWR,SFO,361.0,2565.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,9:37:00,5:58:00,9:23:00,2013-01-01
14,559,600,-1.0,941,910,31.0,AA,707,N3DUAA,LGA,DFW,257.0,1389.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,9:10:00,5:59:00,9:41:00,2013-01-01
15,559,559,0.0,702,706,-4.0,B6,1806,N708JB,JFK,BOS,44.0,187.0,5.0,59.0,2013-01-01T05:00:00Z,5:59:00,7:06:00,5:59:00,7:02:00,2013-01-01
16,559,600,-1.0,854,902,-8.0,UA,1187,N76515,EWR,LAS,337.0,2227.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,9:02:00,5:59:00,8:54:00,2013-01-01
17,600,600,0.0,851,858,-7.0,B6,371,N595JB,LGA,FLL,152.0,1076.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,8:58:00,6:00:00,8:51:00,2013-01-01
18,600,600,0.0,837,825,12.0,MQ,4650,N542MQ,LGA,ATL,134.0,762.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,8:25:00,6:00:00,8:37:00,2013-01-01
19,601,600,1.0,844,850,-6.0,B6,343,N644JB,EWR,PBI,147.0,1023.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,8:50:00,6:01:00,8:44:00,2013-01-01
20,602,610,-8.0,812,820,-8.0,DL,1919,N971DL,LGA,MSP,170.0,1020.0,6.0,10.0,2013-01-01T06:00:00Z,6:10:00,8:20:00,6:02:00,8:12:00,2013-01-01
21,602,605,-3.0,821,805,16.0,MQ,4401,N730MQ,LGA,DTW,105.0,502.0,6.0,5.0,2013-01-01T06:00:00Z,6:05:00,8:05:00,6:02:00,8:21:00,2013-01-01
22,606,610,-4.0,858,910,-12.0,AA,1895,N633AA,EWR,MIA,152.0,1085.0,6.0,10.0,2013-01-01T06:00:00Z,6:10:00,9:10:00,6:06:00,8:58:00,2013-01-01
23,606,610,-4.0,837,845,-8.0,DL,1743,N3739P,JFK,ATL,128.0,760.0,6.0,10.0,2013-01-01T06:00:00Z,6:10:00,8:45:00,6:06:00,8:37:00,2013-01-01
24,607,607,0.0,858,915,-17.0,UA,1077,N53442,EWR,MIA,157.0,1085.0,6.0,7.0,2013-01-01T06:00:00Z,6:07:00,9:15:00,6:07:00,8:58:00,2013-01-01
25,608,600,8.0,807,735,32.0,MQ,3768,N9EAMQ,EWR,ORD,139.0,719.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,7:35:00,6:08:00,8:07:00,2013-01-01
26,611,600,11.0,945,931,14.0,UA,303,N532UA,JFK,SFO,366.0,2586.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,9:31:00,6:11:00,9:45:00,2013-01-01
27,613,610,3.0,925,921,4.0,B6,135,N635JB,JFK,RSW,175.0,1074.0,6.0,10.0,2013-01-01T06:00:00Z,6:10:00,9:21:00,6:13:00,9:25:00,2013-01-01
28,615,615,0.0,1039,1100,-21.0,B6,709,N794JB,JFK,SJU,182.0,1598.0,6.0,15.0,2013-01-01T06:00:00Z,6:15:00,11:00:00,6:15:00,10:39:00,2013-01-01
29,615,615,0.0,833,842,-9.0,DL,575,N326NB,EWR,ATL,120.0,746.0,6.0,15.0,2013-01-01T06:00:00Z,6:15:00,8:42:00,6:15:00,8:33:00,2013-01-01
30,622,630,-8.0,1017,1014,3.0,US,245,N807AW,EWR,PHX,342.0,2133.0,6.0,30.0,2013-01-01T06:00:00Z,6:30:00,10:14:00,6:22:00,10:17:00,2013-01-01
31,623,610,13.0,920,915,5.0,AA,1837,N3EMAA,LGA,MIA,153.0,1096.0,6.0,10.0,2013-01-01T06:00:00Z,6:10:00,9:15:00,6:23:00,9:20:00,2013-01-01
32,623,627,-4.0,933,932,1.0,UA,496,N459UA,LGA,IAH,229.0,1416.0,6.0,27.0,2013-01-01T06:00:00Z,6:27:00,9:32:00,6:23:00,9:33:00,2013-01-01
33,624,630,-6.0,909,840,29.0,EV,4626,N11107,EWR,MSP,190.0,1008.0,6.0,30.0,2013-01-01T06:00:00Z,6:30:00,8:40:00,6:24:00,9:09:00,2013-01-01
34,624,630,-6.0,840,830,10.0,MQ,4599,N518MQ,LGA,MSP,166.0,1020.0,6.0,30.0,2013-01-01T06:00:00Z,6:30:00,8:30:00,6:24:00,8:40:00,2013-01-01
35,627,630,-3.0,1018,1018,0.0,US,27,N535UW,JFK,PHX,330.0,2153.0,6.0,30.0,2013-01-01T06:00:00Z,6:30:00,10:18:00,6:27:00,10:18:00,2013-01-01
36,628,630,-2.0,1137,1140,-3.0,AA,413,N3BAAA,JFK,SJU,192.0,1598.0,6.0,30.0,2013-01-01T06:00:00Z,6:30:00,11:40:00,6:28:00,11:37:00,2013-01-01
37,628,630,-2.0,1016,947,29.0,UA,1665,N33289,EWR,LAX,366.0,2454.0,6.0,30.0,2013-01-01T06:00:00Z,6:30:00,9:47:00,6:28:00,10:16:00,2013-01-01
38,629,630,-1.0,824,810,14.0,AA,303,N3CYAA,LGA,ORD,140.0,733.0,6.0,30.0,2013-01-01T06:00:00Z,6:30:00,8:10:00,6:29:00,8:24:00,2013-01-01
39,629,630,-1.0,721,740,-19.0,WN,4646,N273WN,LGA,BWI,40.0,185.0,6.0,30.0,2013-01-01T06:00:00Z,6:30:00,7:40:00,6:29:00,7:21:00,2013-01-01
40,629,630,-1.0,824,833,-9.0,US,1019,N426US,EWR,CLT,91.0,529.0,6.0,30.0,2013-01-01T06:00:00Z,6:30:00,8:33:00,6:29:00,8:24:00,2013-01-01
41,632,608,24.0,740,728,12.0,EV,4144,N13553,EWR,IAD,52.0,212.0,6.0,8.0,2013-01-01T06:00:00Z,6:08:00,7:28:00,6:32:00,7:40:00,2013-01-01
42,635,635,0.0,1028,940,48.0,AA,711,N3GKAA,LGA,DFW,248.0,1389.0,6.0,35.0,2013-01-01T06:00:00Z,6:35:00,9:40:00,6:35:00,10:28:00,2013-01-01
43,637,645,-8.0,930,935,-5.0,B6,389,N709JB,LGA,MCO,144.0,950.0,6.0,45.0,2013-01-01T06:00:00Z,6:45:00,9:35:00,6:37:00,9:30:00,2013-01-01
44,639,640,-1.0,739,749,-10.0,B6,1002,N805JB,JFK,BOS,41.0,187.0,6.0,40.0,2013-01-01T06:00:00Z,6:40:00,7:49:00,6:39:00,7:39:00,2013-01-01
45,643,646,-3.0,922,940,-18.0,UA,556,N497UA,EWR,PBI,146.0,1023.0,6.0,46.0,2013-01-01T06:00:00Z,6:46:00,9:40:00,6:43:00,9:22:00,2013-01-01
46,643,645,-2.0,837,848,-11.0,US,926,N178US,EWR,CLT,91.0,529.0,6.0,45.0,2013-01-01T06:00:00Z,6:45:00,8:48:00,6:43:00,8:37:00,2013-01-01
47,644,636,8.0,931,940,-9.0,UA,1701,N75435,EWR,FLL,151.0,1065.0,6.0,36.0,2013-01-01T06:00:00Z,6:36:00,9:40:00,6:44:00,9:31:00,2013-01-01
48,645,647,-2.0,815,810,5.0,B6,102,N796JB,JFK,BUF,63.0,301.0,6.0,47.0,2013-01-01T06:00:00Z,6:47:00,8:10:00,6:45:00,8:15:00,2013-01-01
49,646,645,1.0,910,916,-6.0,UA,883,N569UA,LGA,DEN,243.0,1620.0,6.0,45.0,2013-01-01T06:00:00Z,6:45:00,9:16:00,6:46:00,9:10:00,2013-01-01
50,646,645,1.0,1023,1030,-7.0,UA,1496,N38727,EWR,SNA,380.0,2434.0,6.0,45.0,2013-01-01T06:00:00Z,6:45:00,10:30:00,6:46:00,10:23:00,2013-01-01
51,651,655,-4.0,936,942,-6.0,B6,203,N558JB,JFK,LAS,323.0,2248.0,6.0,55.0,2013-01-01T06:00:00Z,6:55:00,9:42:00,6:51:00,9:36:00,2013-01-01
52,652,655,-3.0,932,921,11.0,B6,117,N178JB,JFK,MSY,191.0,1182.0,6.0,55.0,2013-01-01T06:00:00Z,6:55:00,9:21:00,6:52:00,9:32:00,2013-01-01
53,653,700,-7.0,936,1009,-33.0,DL,1383,N327NW,LGA,PBI,149.0,1035.0,7.0,0.0,2013-01-01T07:00:00Z,7:00:00,10:09:00,6:53:00,9:36:00,2013-01-01
54,655,655,0.0,1021,1030,-9.0,DL,1415,N3763D,JFK,SLC,294.0,1990.0,6.0,55.0,2013-01-01T06:00:00Z,6:55:00,10:30:00,6:55:00,10:21:00,2013-01-01
55,655,700,-5.0,1037,1045,-8.0,DL,1865,N705TW,JFK,SFO,362.0,2586.0,7.0,0.0,2013-01-01T07:00:00Z,7:00:00,10:45:00,6:55:00,10:37:00,2013-01-01
56,655,700,-5.0,1002,1020,-18.0,DL,2003,N997DL,LGA,MIA,161.0,1096.0,7.0,0.0,2013-01-01T07:00:00Z,7:00:00,10:20:00,6:55:00,10:02:00,2013-01-01
57,656,700,-4.0,854,850,4.0,AA,305,N4WNAA,LGA,ORD,143.0,733.0,7.0,0.0,2013-01-01T07:00:00Z,7:00:00,8:50:00,6:56:00,8:54:00,2013-01-01
58,656,659,-3.0,949,959,-10.0,AA,1815,N5FMAA,JFK,MCO,142.0,944.0,6.0,59.0,2013-01-01T06:00:00Z,6:59:00,9:59:00,6:56:00,9:49:00,2013-01-01
59,656,705,-9.0,1007,940,27.0,MQ,4534,N722MQ,LGA,XNA,233.0,1147.0,7.0,5.0,2013-01-01T07:00:00Z,7:05:00,9:40:00,6:56:00,10:07:00,2013-01-01
60,656,700,-4.0,948,1011,-23.0,UA,1115,N24212,EWR,TPA,156.0,997.0,7.0,0.0,2013-01-01T07:00:00Z,7:00:00,10:11:00,6:56:00,9:48:00,2013-01-01
61,657,700,-3.0,959,1013,-14.0,DL,1879,N318NB,LGA,FLL,164.0,1076.0,7.0,0.0,2013-01-01T07:00:00Z,7:00:00,10:13:00,6:57:00,9:59:00,2013-01-01
62,658,700,-2.0,944,939,5.0,DL,1547,N6703D,LGA,ATL,126.0,762.0,7.0,0.0,2013-01-01T07:00:00Z,7:00:00,9:39:00,6:58:00,9:44:00,2013-01-01
63,658,700,-2.0,1027,1025,2.0,VX,399,N627VA,JFK,LAX,361.0,2475.0,7.0,0.0,2013-01-01T07:00:00Z,7:00:00,10:25:00,6:58:00,10:27:00,2013-01-01
64,659,700,-1.0,1008,1015,-7.0,AA,2279,N3EKAA,LGA,MIA,159.0,1096.0,7.0,0.0,2013-01-01T07:00:00Z,7:00:00,10:15:00,6:59:00,10:08:00,2013-01-01
65,659,700,-1.0,1008,1007,1.0,B6,981,N646JB,JFK,FLL,156.0,1069.0,7.0,0.0,2013-01-01T07:00:00Z,7:00:00,10:07:00,6:59:00,10:08:00,2013-01-01
66,659,705,-6.0,907,913,-6.0,DL,831,N998DL,LGA,DTW,105.0,502.0,7.0,5.0,2013-01-01T07:00:00Z,7:05:00,9:13:00,6:59:00,9:07:00,2013-01-01
67,659,700,-1.0,959,1008,-9.0,UA,960,N838UA,EWR,RSW,164.0,1068.0,7.0,0.0,2013-01-01T07:00:00Z,7:00:00,10:08:00,6:59:00,9:59:00,2013-01-01
68,701,700,1.0,1123,1154,-31.0,UA,1203,N77296,EWR,SJU,188.0,1608.0,7.0,0.0,2013-01-01T07:00:00Z,7:00:00,11:54:00,7:01:00,11:23:00,2013-01-01
69,702,700,2.0,1058,1014,44.0,B6,671,N779JB,JFK,LAX,381.0,2475.0,7.0,0.0,2013-01-01T07:00:00Z,7:00:00,10:14:00,7:02:00,10:58:00,2013-01-01
70,709,700,9.0,852,832,20.0,UA,1092,N26226,LGA,ORD,135.0,733.0,7.0,0.0,2013-01-01T07:00:00Z,7:00:00,8:32:00,7:09:00,8:52:00,2013-01-01
71,711,715,-4.0,1151,1206,-15.0,B6,715,N651JB,JFK,SJU,190.0,1598.0,7.0,15.0,2013-01-01T07:00:00Z,7:15:00,12:06:00,7:11:00,11:51:00,2013-01-01
72,712,715,-3.0,1023,1035,-12.0,AA,825,N3ETAA,JFK,FLL,159.0,1069.0,7.0,15.0,2013-01-01T07:00:00Z,7:15:00,10:35:00,7:12:00,10:23:00,2013-01-01
73,715,713,2.0,911,850,21.0,UA,544,N841UA,EWR,ORD,156.0,719.0,7.0,13.0,2013-01-01T07:00:00Z,7:13:00,8:50:00,7:15:00,9:11:00,2013-01-01
74,717,720,-3.0,850,840,10.0,FL,850,N978AT,LGA,MKE,134.0,738.0,7.0,20.0,2013-01-01T07:00:00Z,7:20:00,8:40:00,7:17:00,8:50:00,2013-01-01
75,719,721,-2.0,1017,1012,5.0,B6,987,N562JB,JFK,MCO,147.0,944.0,7.0,21.0,2013-01-01T07:00:00Z,7:21:00,10:12:00,7:19:00,10:17:00,2013-01-01
76,723,725,-2.0,1013,1017,-4.0,UA,962,N514UA,EWR,PBI,153.0,1023.0,7.0,25.0,2013-01-01T07:00:00Z,7:25:00,10:17:00,7:23:00,10:13:00,2013-01-01
77,724,730,-6.0,1111,1040,31.0,AA,715,N541AA,LGA,DFW,254.0,1389.0,7.0,30.0,2013-01-01T07:00:00Z,7:30:00,10:40:00,7:24:00,11:11:00,2013-01-01
78,724,725,-1.0,1020,1030,-10.0,AS,11,N594AS,EWR,SEA,338.0,2402.0,7.0,25.0,2013-01-01T07:00:00Z,7:25:00,10:30:00,7:24:00,10:20:00,2013-01-01
79,725,730,-5.0,1052,1040,12.0,AA,2083,N4WRAA,EWR,DFW,238.0,1372.0,7.0,30.0,2013-01-01T07:00:00Z,7:30:00,10:40:00,7:25:00,10:52:00,2013-01-01
80,727,730,-3.0,959,952,7.0,UA,1162,N37462,EWR,DEN,254.0,1605.0,7.0,30.0,2013-01-01T07:00:00Z,7:30:00,9:52:00,7:27:00,9:59:00,2013-01-01
81,728,732,-4.0,1041,1038,3.0,UA,473,N488UA,LGA,IAH,238.0,1416.0,7.0,32.0,2013-01-01T07:00:00Z,7:32:00,10:38:00,7:28:00,10:41:00,2013-01-01
82,729,730,-1.0,1049,1115,-26.0,VX,11,N635VA,JFK,SFO,356.0,2586.0,7.0,30.0,2013-01-01T07:00:00Z,7:30:00,11:15:00,7:29:00,10:49:00,2013-01-01
83,732,735,-3.0,857,858,-1.0,B6,20,N304JB,JFK,ROC,64.0,264.0,7.0,35.0,2013-01-01T07:00:00Z,7:35:00,8:58:00,7:32:00,8:57:00,2013-01-01
84,732,729,3.0,1041,1039,2.0,B6,1601,N563JB,LGA,RSW,167.0,1080.0,7.0,29.0,2013-01-01T07:00:00Z,7:29:00,10:39:00,7:32:00,10:41:00,2013-01-01
85,732,645,47.0,1011,941,30.0,UA,1111,N37456,EWR,MCO,145.0,937.0,6.0,45.0,2013-01-01T06:00:00Z,6:45:00,9:41:00,7:32:00,10:11:00,2013-01-01
86,733,736,-3.0,854,850,4.0,B6,44,N552JB,JFK,SYR,54.0,209.0,7.0,36.0,2013-01-01T07:00:00Z,7:36:00,8:50:00,7:33:00,8:54:00,2013-01-01
87,734,737,-3.0,1047,1113,-26.0,B6,643,N625JB,JFK,SFO,350.0,2586.0,7.0,37.0,2013-01-01T07:00:00Z,7:37:00,11:13:00,7:34:00,10:47:00,2013-01-01
88,739,745,-6.0,918,930,-12.0,AA,309,N4WPAA,LGA,ORD,137.0,733.0,7.0,45.0,2013-01-01T07:00:00Z,7:45:00,9:30:00,7:39:00,9:18:00,2013-01-01
89,739,739,0.0,1104,1038,26.0,UA,1479,N37408,EWR,IAH,249.0,1400.0,7.0,39.0,2013-01-01T07:00:00Z,7:39:00,10:38:00,7:39:00,11:04:00,2013-01-01
90,741,745,-4.0,1038,1036,2.0,B6,983,N633JB,LGA,TPA,158.0,1010.0,7.0,45.0,2013-01-01T07:00:00Z,7:45:00,10:36:00,7:41:00,10:38:00,2013-01-01
91,743,730,13.0,1107,1100,7.0,AA,33,N338AA,JFK,LAX,358.0,2475.0,7.0,30.0,2013-01-01T07:00:00Z,7:30:00,11:00:00,7:43:00,11:07:00,2013-01-01
92,743,749,-6.0,1043,1054,-11.0,B6,341,N624JB,JFK,SRQ,164.0,1041.0,7.0,49.0,2013-01-01T07:00:00Z,7:49:00,10:54:00,7:43:00,10:43:00,2013-01-01
93,743,730,13.0,1059,1056,3.0,DL,495,N3760C,JFK,SEA,349.0,2422.0,7.0,30.0,2013-01-01T07:00:00Z,7:30:00,10:56:00,7:43:00,10:59:00,2013-01-01
94,745,745,0.0,1135,1125,10.0,AA,59,N336AA,JFK,SFO,378.0,2586.0,7.0,45.0,2013-01-01T07:00:00Z,7:45:00,11:25:00,7:45:00,11:35:00,2013-01-01
95,746,746,0.0,1119,1129,-10.0,UA,1668,N24224,EWR,SFO,373.0,2565.0,7.0,46.0,2013-01-01T07:00:00Z,7:46:00,11:29:00,7:46:00,11:19:00,2013-01-01
96,749,710,39.0,939,850,49.0,MQ,3737,N508MQ,EWR,ORD,148.0,719.0,7.0,10.0,2013-01-01T07:00:00Z,7:10:00,8:50:00,7:49:00,9:39:00,2013-01-01
97,752,755,-3.0,1041,1059,-18.0,DL,2263,N325US,LGA,MCO,140.0,950.0,7.0,55.0,2013-01-01T07:00:00Z,7:55:00,10:59:00,7:52:00,10:41:00,2013-01-01
98,752,750,2.0,1025,1029,-4.0,UA,477,N511UA,LGA,DEN,249.0,1620.0,7.0,50.0,2013-01-01T07:00:00Z,7:50:00,10:29:00,7:52:00,10:25:00,2013-01-01
99,752,759,-7.0,955,959,-4.0,US,1733,N543UW,LGA,CLT,96.0,544.0,7.0,59.0,2013-01-01T07:00:00Z,7:59:00,9:59:00,7:52:00,9:55:00,2013-01-01
